"Year";"State";"Type";"Length";"Expense";"Value"
2015;"Florida";"Public Out-of-State";"4-year";"Fees/Tuition";17771.0
2015;"Florida";"Public Out-of-State";"4-year";"Room/Board";10221.0
2015;"Georgia";"Private";"4-year";"Fees/Tuition";24493.0
2015;"Georgia";"Private";"4-year";"Room/Board";11614.0
2015;"Georgia";"Public In-State";"2-year";"Fees/Tuition";3177.0
2015;"Georgia";"Public In-State";"4-year";"Fees/Tuition";6753.0
2015;"Georgia";"Public In-State";"4-year";"Room/Board";9770.0
2015;"Georgia";"Public Out-of-State";"2-year";"Fees/Tuition";7769.0
2015;"Georgia";"Public Out-of-State";"4-year";"Fees/Tuition";21739.0
2015;"Georgia";"Public Out-of-State";"4-year";"Room/Board";9770.0
2015;"Hawaii";"Private";"4-year";"Fees/Tuition";15233.0
2015;"Hawaii";"Private";"4-year";"Room/Board";12251.0
2015;"Hawaii";"Public In-State";"2-year";"Fees/Tuition";2800.0
2015;"Hawaii";"Public In-State";"4-year";"Fees/Tuition";8831.0
2015;"Hawaii";"Public In-State";"4-year";"Room/Board";10300.0
2015;"Hawaii";"Public Out-of-State";"2-year";"Fees/Tuition";7646.0
2015;"Hawaii";"Public Out-of-State";"4-year";"Fees/Tuition";26150.0
2015;"Hawaii";"Public Out-of-State";"4-year";"Room/Board";10300.0
2015;"Idaho";"Private";"4-year";"Fees/Tuition";6456.0
2015;"Idaho";"Private";"4-year";"Room/Board";6552.0
2015;"Idaho";"Public In-State";"2-year";"Fees/Tuition";3023.0
2015;"Idaho";"Public In-State";"4-year";"Fees/Tuition";6834.0
2015;"Idaho";"Public In-State";"4-year";"Room/Board";6810.0
2015;"Idaho";"Public Out-of-State";"2-year";"Fees/Tuition";7336.0
2015;"Idaho";"Public Out-of-State";"4-year";"Fees/Tuition";19633.0
2015;"Idaho";"Public Out-of-State";"4-year";"Room/Board";6810.0
2015;"Illinois";"Private";"4-year";"Fees/Tuition";28481.0
2015;"Illinois";"Private";"4-year";"Room/Board";11297.0
2015;"Illinois";"Public In-State";"2-year";"Fees/Tuition";3499.0
2015;"Illinois";"Public In-State";"4-year";"Fees/Tuition";13084.0
2015;"Illinois";"Public In-State";"4-year";"Room/Board";10707.0
2015;"Illinois";"Public Out-of-State";"2-year";"Fees/Tuition";9871.0
2015;"Illinois";"Public Out-of-State";"4-year";"Fees/Tuition";27672.0
2015;"Illinois";"Public Out-of-State";"4-year";"Room/Board";10707.0
2015;"Indiana";"Private";"4-year";"Fees/Tuition";29050.0
2015;"Indiana";"Private";"4-year";"Room/Board";10079.0
2015;"Indiana";"Public In-State";"2-year";"Fees/Tuition";4055.0
2015;"Indiana";"Public In-State";"4-year";"Fees/Tuition";8633.0
2015;"Indiana";"Public In-State";"4-year";"Room/Board";9760.0
2015;"Indiana";"Public Out-of-State";"2-year";"Fees/Tuition";7932.0
2015;"Indiana";"Public Out-of-State";"4-year";"Fees/Tuition";28035.0
2015;"Indiana";"Public Out-of-State";"4-year";"Room/Board";9760.0
2015;"Iowa";"Private";"4-year";"Fees/Tuition";24076.0
2015;"Iowa";"Private";"4-year";"Room/Board";8534.0
2015;"Iowa";"Public In-State";"2-year";"Fees/Tuition";4355.0
2015;"Iowa";"Public In-State";"4-year";"Fees/Tuition";7858.0
2015;"Iowa";"Public In-State";"4-year";"Room/Board";8851.0
2015;"Iowa";"Public Out-of-State";"2-year";"Fees/Tuition";5548.0
2015;"Iowa";"Public Out-of-State";"4-year";"Fees/Tuition";23778.0
2015;"Iowa";"Public Out-of-State";"4-year";"Room/Board";8851.0
2015;"Kansas";"Private";"4-year";"Fees/Tuition";16635.0
2015;"Kansas";"Private";"4-year";"Room/Board";8020.0
2015;"Kansas";"Public In-State";"2-year";"Fees/Tuition";3015.0
2015;"Kansas";"Public In-State";"4-year";"Fees/Tuition";7726.0
2015;"Kansas";"Public In-State";"4-year";"Room/Board";7858.0
2015;"Kansas";"Public Out-of-State";"2-year";"Fees/Tuition";4197.0
2015;"Kansas";"Public Out-of-State";"4-year";"Fees/Tuition";20155.0
2015;"Kansas";"Public Out-of-State";"4-year";"Room/Board";7858.0
2015;"Kentucky";"Private";"4-year";"Fees/Tuition";23039.0
2015;"Kentucky";"Private";"4-year";"Room/Board";8555.0
2015;"Kentucky";"Public In-State";"2-year";"Fees/Tuition";3650.0
2015;"Kentucky";"Public In-State";"4-year";"Fees/Tuition";9189.0
2015;"Kentucky";"Public In-State";"4-year";"Room/Board";8341.0
2015;"Kentucky";"Public Out-of-State";"2-year";"Fees/Tuition";12478.0
2015;"Kentucky";"Public Out-of-State";"4-year";"Fees/Tuition";21409.0
2015;"Kentucky";"Public Out-of-State";"4-year";"Room/Board";8341.0
2015;"Louisiana";"Private";"4-year";"Fees/Tuition";31175.0
2015;"Louisiana";"Private";"4-year";"Room/Board";11444.0
2015;"Louisiana";"Public In-State";"2-year";"Fees/Tuition";3502.0
2015;"Louisiana";"Public In-State";"4-year";"Fees/Tuition";7296.0
2015;"Louisiana";"Public In-State";"4-year";"Room/Board";8749.0
2015;"Louisiana";"Public Out-of-State";"2-year";"Fees/Tuition";6659.0
2015;"Louisiana";"Public Out-of-State";"4-year";"Fees/Tuition";21409.0
2015;"Louisiana";"Public Out-of-State";"4-year";"Room/Board";8749.0
2015;"Maine";"Private";"4-year";"Fees/Tuition";33205.0
2015;"Maine";"Private";"4-year";"Room/Board";11786.0
2015;"Maine";"Public In-State";"2-year";"Fees/Tuition";3663.0
2015;"Maine";"Public In-State";"4-year";"Fees/Tuition";9166.0
2015;"Maine";"Public In-State";"4-year";"Room/Board";9748.0
2015;"Maine";"Public Out-of-State";"2-year";"Fees/Tuition";6455.0
2015;"Maine";"Public Out-of-State";"4-year";"Fees/Tuition";25273.0
2015;"Maine";"Public Out-of-State";"4-year";"Room/Board";9748.0
2015;"Maryland";"Private";"4-year";"Fees/Tuition";36402.0
2015;"Maryland";"Private";"4-year";"Room/Board";13246.0
2015;"Maryland";"Public In-State";"2-year";"Fees/Tuition";3668.0
2015;"Maryland";"Public In-State";"4-year";"Fees/Tuition";8482.0
2015;"Maryland";"Public In-State";"4-year";"Room/Board";10892.0
2015;"Maryland";"Public Out-of-State";"2-year";"Fees/Tuition";8841.0
2015;"Maryland";"Public Out-of-State";"4-year";"Fees/Tuition";21031.0
2015;"Maryland";"Public Out-of-State";"4-year";"Room/Board";10892.0
2015;"Massachusetts";"Private";"4-year";"Fees/Tuition";39298.0
2015;"Massachusetts";"Private";"4-year";"Room/Board";13873.0
2015;"Massachusetts";"Public In-State";"2-year";"Fees/Tuition";4333.0
2015;"Massachusetts";"Public In-State";"4-year";"Fees/Tuition";10900.0
2015;"Massachusetts";"Public In-State";"4-year";"Room/Board";11314.0
2015;"Massachusetts";"Public Out-of-State";"2-year";"Fees/Tuition";9742.0
2015;"Massachusetts";"Public Out-of-State";"4-year";"Fees/Tuition";26213.0
2015;"Massachusetts";"Public Out-of-State";"4-year";"Room/Board";11314.0
2015;"Michigan";"Private";"4-year";"Fees/Tuition";20718.0
2015;"Michigan";"Private";"4-year";"Room/Board";8705.0
2015;"Michigan";"Public In-State";"2-year";"Fees/Tuition";3062.0
2015;"Michigan";"Public In-State";"4-year";"Fees/Tuition";11507.0
2015;"Michigan";"Public In-State";"4-year";"Room/Board";9336.0
2015;"Michigan";"Public Out-of-State";"2-year";"Fees/Tuition";6323.0
2015;"Michigan";"Public Out-of-State";"4-year";"Fees/Tuition";33666.0
2015;"Michigan";"Public Out-of-State";"4-year";"Room/Board";9336.0
2015;"Minnesota";"Private";"4-year";"Fees/Tuition";28123.0
2015;"Minnesota";"Private";"4-year";"Room/Board";9561.0
2015;"Minnesota";"Public In-State";"2-year";"Fees/Tuition";5327.0
2015;"Minnesota";"Public In-State";"4-year";"Fees/Tuition";10400.0
2015;"Minnesota";"Public In-State";"4-year";"Room/Board";8327.0
2015;"Minnesota";"Public Out-of-State";"2-year";"Fees/Tuition";5960.0
2015;"Minnesota";"Public Out-of-State";"4-year";"Fees/Tuition";17376.0
2015;"Minnesota";"Public Out-of-State";"4-year";"Room/Board";8327.0
2015;"Mississippi";"Private";"4-year";"Fees/Tuition";15643.0
2015;"Mississippi";"Private";"4-year";"Room/Board";7201.0
2015;"Mississippi";"Public In-State";"2-year";"Fees/Tuition";2518.0
2015;"Mississippi";"Public In-State";"4-year";"Fees/Tuition";6880.0
2015;"Mississippi";"Public In-State";"4-year";"Room/Board";8830.0
2015;"Mississippi";"Public Out-of-State";"2-year";"Fees/Tuition";4676.0
2015;"Mississippi";"Public Out-of-State";"4-year";"Fees/Tuition";17262.0
2015;"Mississippi";"Public Out-of-State";"4-year";"Room/Board";8830.0
2015;"Missouri";"Private";"4-year";"Fees/Tuition";21465.0
2015;"Missouri";"Private";"4-year";"Room/Board";8938.0
2015;"Missouri";"Public In-State";"2-year";"Fees/Tuition";2890.0
2015;"Missouri";"Public In-State";"4-year";"Fees/Tuition";8065.0
2015;"Missouri";"Public In-State";"4-year";"Room/Board";9079.0
2015;"Missouri";"Public Out-of-State";"2-year";"Fees/Tuition";5514.0
2015;"Missouri";"Public Out-of-State";"4-year";"Fees/Tuition";19410.0
2015;"Missouri";"Public Out-of-State";"4-year";"Room/Board";9079.0
2015;"Montana";"Private";"4-year";"Fees/Tuition";21630.0
2015;"Montana";"Private";"4-year";"Room/Board";8006.0
2015;"Montana";"Public In-State";"2-year";"Fees/Tuition";3215.0
2015;"Montana";"Public In-State";"4-year";"Fees/Tuition";6378.0
2015;"Montana";"Public In-State";"4-year";"Room/Board";8070.0
2015;"Montana";"Public Out-of-State";"2-year";"Fees/Tuition";8923.0
2015;"Montana";"Public Out-of-State";"4-year";"Fees/Tuition";21481.0
2015;"Montana";"Public Out-of-State";"4-year";"Room/Board";8070.0
2015;"Nebraska";"Private";"4-year";"Fees/Tuition";20501.0
2015;"Nebraska";"Private";"4-year";"Room/Board";8429.0
2015;"Nebraska";"Public In-State";"2-year";"Fees/Tuition";2743.0
2015;"Nebraska";"Public In-State";"4-year";"Fees/Tuition";7223.0
2015;"Nebraska";"Public In-State";"4-year";"Room/Board";8976.0
2015;"Nebraska";"Public Out-of-State";"2-year";"Fees/Tuition";3743.0
2015;"Nebraska";"Public Out-of-State";"4-year";"Fees/Tuition";18180.0
2015;"Nebraska";"Public Out-of-State";"4-year";"Room/Board";8976.0
2015;"Nevada";"Private";"4-year";"Fees/Tuition";17325.0
2015;"Nevada";"Private";"4-year";"Room/Board";13488.0
2015;"Nevada";"Public In-State";"2-year";"Fees/Tuition";2700.0
2015;"Nevada";"Public In-State";"4-year";"Fees/Tuition";5016.0
2015;"Nevada";"Public In-State";"4-year";"Room/Board";10122.0
2015;"Nevada";"Public Out-of-State";"2-year";"Fees/Tuition";9345.0
2015;"Nevada";"Public Out-of-State";"4-year";"Fees/Tuition";20064.0
2015;"Nevada";"Public Out-of-State";"4-year";"Room/Board";10122.0
2015;"New Hampshire";"Private";"4-year";"Fees/Tuition";31868.0
2015;"New Hampshire";"Private";"4-year";"Room/Board";13128.0
2015;"New Hampshire";"Public In-State";"2-year";"Fees/Tuition";6979.0
2015;"New Hampshire";"Public In-State";"4-year";"Fees/Tuition";14538.0
2015;"New Hampshire";"Public In-State";"4-year";"Room/Board";11283.0
2015;"New Hampshire";"Public Out-of-State";"2-year";"Fees/Tuition";15202.0
2015;"New Hampshire";"Public Out-of-State";"4-year";"Fees/Tuition";26131.0
2015;"New Hampshire";"Public Out-of-State";"4-year";"Room/Board";11283.0
2015;"New Jersey";"Private";"4-year";"Fees/Tuition";32986.0
2015;"New Jersey";"Private";"4-year";"Room/Board";12448.0
2015;"New Jersey";"Public In-State";"2-year";"Fees/Tuition";3982.0
2015;"New Jersey";"Public In-State";"4-year";"Fees/Tuition";12541.0
2015;"New Jersey";"Public In-State";"4-year";"Room/Board";12283.0
2015;"New Jersey";"Public Out-of-State";"2-year";"Fees/Tuition";6926.0
2015;"New Jersey";"Public Out-of-State";"4-year";"Fees/Tuition";26556.0
2015;"New Jersey";"Public Out-of-State";"4-year";"Room/Board";12283.0
2015;"New Mexico";"Private";"4-year";"Fees/Tuition";18779.0
2015;"New Mexico";"Private";"4-year";"Room/Board";9685.0
2015;"New Mexico";"Public In-State";"2-year";"Fees/Tuition";1475.0
2015;"New Mexico";"Public In-State";"4-year";"Fees/Tuition";6003.0
2015;"New Mexico";"Public In-State";"4-year";"Room/Board";8775.0
2015;"New Mexico";"Public Out-of-State";"2-year";"Fees/Tuition";4636.0
2015;"New Mexico";"Public Out-of-State";"4-year";"Fees/Tuition";15285.0
2015;"New Mexico";"Public Out-of-State";"4-year";"Room/Board";8775.0
2015;"New York";"Private";"4-year";"Fees/Tuition";35095.0
2015;"New York";"Private";"4-year";"Room/Board";13749.0
2015;"New York";"Public In-State";"2-year";"Fees/Tuition";4711.0
2015;"New York";"Public In-State";"4-year";"Fees/Tuition";7272.0
2015;"New York";"Public In-State";"4-year";"Room/Board";13277.0
2015;"New York";"Public Out-of-State";"2-year";"Fees/Tuition";8344.0
2015;"New York";"Public Out-of-State";"4-year";"Fees/Tuition";18825.0
2015;"New York";"Public Out-of-State";"4-year";"Room/Board";13277.0
2015;"North Carolina";"Private";"4-year";"Fees/Tuition";28177.0
2015;"North Carolina";"Private";"4-year";"Room/Board";10741.0
2015;"North Carolina";"Public In-State";"2-year";"Fees/Tuition";2355.0
2015;"North Carolina";"Public In-State";"4-year";"Fees/Tuition";6658.0
2015;"North Carolina";"Public In-State";"4-year";"Room/Board";9113.0
2015;"North Carolina";"Public Out-of-State";"2-year";"Fees/Tuition";8269.0
2015;"North Carolina";"Public Out-of-State";"4-year";"Fees/Tuition";22676.0
2015;"North Carolina";"Public Out-of-State";"4-year";"Room/Board";9113.0
2015;"North Dakota";"Private";"4-year";"Fees/Tuition";13255.0
2015;"North Dakota";"Private";"4-year";"Room/Board";6248.0
2015;"North Dakota";"Public In-State";"2-year";"Fees/Tuition";4283.0
2015;"North Dakota";"Public In-State";"4-year";"Fees/Tuition";7050.0
2015;"North Dakota";"Public In-State";"4-year";"Room/Board";7167.0
2015;"North Dakota";"Public Out-of-State";"2-year";"Fees/Tuition";8441.0
2015;"North Dakota";"Public Out-of-State";"4-year";"Fees/Tuition";17316.0
2015;"North Dakota";"Public Out-of-State";"4-year";"Room/Board";7167.0
2015;"Ohio";"Private";"4-year";"Fees/Tuition";27761.0
2015;"Ohio";"Private";"4-year";"Room/Board";10215.0
2015;"Ohio";"Public In-State";"2-year";"Fees/Tuition";3610.0
2015;"Ohio";"Public In-State";"4-year";"Fees/Tuition";9631.0
2015;"Ohio";"Public In-State";"4-year";"Room/Board";10906.0
2015;"Ohio";"Public Out-of-State";"2-year";"Fees/Tuition";7512.0
2015;"Ohio";"Public Out-of-State";"4-year";"Fees/Tuition";22756.0
2015;"Ohio";"Public Out-of-State";"4-year";"Room/Board";10906.0
2015;"Oklahoma";"Private";"4-year";"Fees/Tuition";22309.0
2015;"Oklahoma";"Private";"4-year";"Room/Board";8784.0
2015;"Oklahoma";"Public In-State";"2-year";"Fees/Tuition";3244.0
2015;"Oklahoma";"Public In-State";"4-year";"Fees/Tuition";6345.0
2015;"Oklahoma";"Public In-State";"4-year";"Room/Board";7802.0
2015;"Oklahoma";"Public Out-of-State";"2-year";"Fees/Tuition";7940.0
2015;"Oklahoma";"Public Out-of-State";"4-year";"Fees/Tuition";17633.0
2015;"Oklahoma";"Public Out-of-State";"4-year";"Room/Board";7802.0
2015;"Oregon";"Private";"4-year";"Fees/Tuition";33108.0
2015;"Oregon";"Private";"4-year";"Room/Board";11107.0
2015;"Oregon";"Public In-State";"2-year";"Fees/Tuition";4023.0
2015;"Oregon";"Public In-State";"4-year";"Fees/Tuition";8891.0
2015;"Oregon";"Public In-State";"4-year";"Room/Board";10763.0
2015;"Oregon";"Public Out-of-State";"2-year";"Fees/Tuition";7552.0
2015;"Oregon";"Public Out-of-State";"4-year";"Fees/Tuition";27341.0
2015;"Oregon";"Public Out-of-State";"4-year";"Room/Board";10763.0
2015;"Pennsylvania";"Private";"4-year";"Fees/Tuition";35622.0
2015;"Pennsylvania";"Private";"4-year";"Room/Board";12271.0
2015;"Pennsylvania";"Public In-State";"2-year";"Fees/Tuition";4589.0
2015;"Pennsylvania";"Public In-State";"4-year";"Fees/Tuition";13171.0
2015;"Pennsylvania";"Public In-State";"4-year";"Room/Board";10348.0
2015;"Pennsylvania";"Public Out-of-State";"2-year";"Fees/Tuition";11732.0
2015;"Pennsylvania";"Public Out-of-State";"4-year";"Fees/Tuition";24741.0
2015;"Pennsylvania";"Public Out-of-State";"4-year";"Room/Board";10348.0
2015;"Rhode Island";"Private";"4-year";"Fees/Tuition";36205.0
2015;"Rhode Island";"Private";"4-year";"Room/Board";12665.0
2015;"Rhode Island";"Public In-State";"2-year";"Fees/Tuition";3950.0
2015;"Rhode Island";"Public In-State";"4-year";"Fees/Tuition";10868.0
2015;"Rhode Island";"Public In-State";"4-year";"Room/Board";11162.0
2015;"Rhode Island";"Public Out-of-State";"2-year";"Fees/Tuition";10582.0
2015;"Rhode Island";"Public Out-of-State";"4-year";"Fees/Tuition";27110.0
2015;"Rhode Island";"Public Out-of-State";"4-year";"Room/Board";11162.0
2015;"South Carolina";"Private";"4-year";"Fees/Tuition";22241.0
2015;"South Carolina";"Private";"4-year";"Room/Board";8716.0
2015;"South Carolina";"Public In-State";"2-year";"Fees/Tuition";4061.0
2015;"South Carolina";"Public In-State";"4-year";"Fees/Tuition";11448.0
2015;"South Carolina";"Public In-State";"4-year";"Room/Board";8906.0
2015;"South Carolina";"Public Out-of-State";"2-year";"Fees/Tuition";8537.0
2015;"South Carolina";"Public Out-of-State";"4-year";"Fees/Tuition";27814.0
2015;"South Carolina";"Public Out-of-State";"4-year";"Room/Board";8906.0
2015;"South Dakota";"Private";"4-year";"Fees/Tuition";21018.0
2015;"South Dakota";"Private";"4-year";"Room/Board";7514.0
2015;"South Dakota";"Public In-State";"2-year";"Fees/Tuition";5014.0
2015;"South Dakota";"Public In-State";"4-year";"Fees/Tuition";7744.0
2015;"South Dakota";"Public In-State";"4-year";"Room/Board";7239.0
2015;"South Dakota";"Public Out-of-State";"2-year";"Fees/Tuition";4886.0
2015;"South Dakota";"Public Out-of-State";"4-year";"Fees/Tuition";10923.0
2015;"South Dakota";"Public Out-of-State";"4-year";"Room/Board";7239.0
2015;"Tennessee";"Private";"4-year";"Fees/Tuition";23893.0
2015;"Tennessee";"Private";"4-year";"Room/Board";9290.0
2015;"Tennessee";"Public In-State";"2-year";"Fees/Tuition";3820.0
2015;"Tennessee";"Public In-State";"4-year";"Fees/Tuition";8495.0
2015;"Tennessee";"Public In-State";"4-year";"Room/Board";8651.0
2015;"Tennessee";"Public Out-of-State";"2-year";"Fees/Tuition";14859.0
2015;"Tennessee";"Public Out-of-State";"4-year";"Fees/Tuition";23949.0
2015;"Tennessee";"Public Out-of-State";"4-year";"Room/Board";8651.0
2015;"Texas";"Private";"4-year";"Fees/Tuition";27552.0
2015;"Texas";"Private";"4-year";"Room/Board";10192.0
2015;"Texas";"Public In-State";"2-year";"Fees/Tuition";1948.0
2015;"Texas";"Public In-State";"4-year";"Fees/Tuition";7870.0
2015;"Texas";"Public In-State";"4-year";"Room/Board";9002.0
2015;"Texas";"Public Out-of-State";"2-year";"Fees/Tuition";5398.0
2015;"Texas";"Public Out-of-State";"4-year";"Fees/Tuition";21135.0
2015;"Texas";"Public Out-of-State";"4-year";"Room/Board";9002.0
2015;"Utah";"Private";"4-year";"Fees/Tuition";7747.0
2015;"Utah";"Private";"4-year";"Room/Board";7688.0
2015;"Utah";"Public In-State";"2-year";"Fees/Tuition";3469.0
2015;"Utah";"Public In-State";"4-year";"Fees/Tuition";5942.0
2015;"Utah";"Public In-State";"4-year";"Room/Board";7028.0
2015;"Utah";"Public Out-of-State";"2-year";"Fees/Tuition";11011.0
2015;"Utah";"Public Out-of-State";"4-year";"Fees/Tuition";17899.0
2015;"Utah";"Public Out-of-State";"4-year";"Room/Board";7028.0
2015;"Vermont";"Private";"4-year";"Fees/Tuition";37391.0
2015;"Vermont";"Private";"4-year";"Room/Board";11820.0
2015;"Vermont";"Public In-State";"2-year";"Fees/Tuition";5886.0
2015;"Vermont";"Public In-State";"4-year";"Fees/Tuition";14495.0
2015;"Vermont";"Public In-State";"4-year";"Room/Board";10492.0
2015;"Vermont";"Public Out-of-State";"2-year";"Fees/Tuition";11622.0
2015;"Vermont";"Public Out-of-State";"4-year";"Fees/Tuition";35241.0
2015;"Vermont";"Public Out-of-State";"4-year";"Room/Board";10492.0
2015;"Virginia";"Private";"4-year";"Fees/Tuition";22835.0
2015;"Virginia";"Private";"4-year";"Room/Board";9666.0
2015;"Virginia";"Public In-State";"2-year";"Fees/Tuition";4318.0
2015;"Virginia";"Public In-State";"4-year";"Fees/Tuition";11057.0
2015;"Virginia";"Public In-State";"4-year";"Room/Board";9884.0
2015;"Virginia";"Public Out-of-State";"2-year";"Fees/Tuition";9019.0
2015;"Virginia";"Public Out-of-State";"4-year";"Fees/Tuition";30416.0
2015;"Virginia";"Public Out-of-State";"4-year";"Room/Board";9884.0
2015;"Washington";"Private";"4-year";"Fees/Tuition";32964.0
2015;"Washington";"Private";"4-year";"Room/Board";10322.0
2015;"Washington";"Public In-State";"2-year";"Fees/Tuition";3992.0
2015;"Washington";"Public In-State";"4-year";"Fees/Tuition";8299.0
2015;"Washington";"Public In-State";"4-year";"Room/Board";10564.0
2015;"Washington";"Public Out-of-State";"2-year";"Fees/Tuition";6887.0
2015;"Washington";"Public Out-of-State";"4-year";"Fees/Tuition";28539.0
2015;"Washington";"Public Out-of-State";"4-year";"Room/Board";10564.0
2015;"West Virginia";"Private";"4-year";"Fees/Tuition";11055.0
2015;"West Virginia";"Private";"4-year";"Room/Board";8626.0
2015;"West Virginia";"Public In-State";"2-year";"Fees/Tuition";3628.0
2015;"West Virginia";"Public In-State";"4-year";"Fees/Tuition";6420.0
2015;"West Virginia";"Public In-State";"4-year";"Room/Board";9223.0
2015;"West Virginia";"Public Out-of-State";"2-year";"Fees/Tuition";8215.0
2015;"West Virginia";"Public Out-of-State";"4-year";"Fees/Tuition";17882.0
2015;"West Virginia";"Public Out-of-State";"4-year";"Room/Board";9223.0
2015;"Wisconsin";"Private";"4-year";"Fees/Tuition";28094.0
2015;"Wisconsin";"Private";"4-year";"Room/Board";9322.0
2015;"Wisconsin";"Public In-State";"2-year";"Fees/Tuition";4323.0
2015;"Wisconsin";"Public In-State";"4-year";"Fees/Tuition";8441.0
2015;"Wisconsin";"Public In-State";"4-year";"Room/Board";7496.0
2015;"Wisconsin";"Public Out-of-State";"2-year";"Fees/Tuition";7220.0
2015;"Wisconsin";"Public Out-of-State";"4-year";"Fees/Tuition";20020.0
2015;"Wisconsin";"Public Out-of-State";"4-year";"Room/Board";7496.0
2015;"Wyoming";"Private";"4-year";"Fees/Tuition";16968.0
2015;"Wyoming";"Public In-State";"2-year";"Fees/Tuition";2694.0
2015;"Wyoming";"Public In-State";"4-year";"Fees/Tuition";3968.0
2015;"Wyoming";"Public In-State";"4-year";"Room/Board";9489.0
2015;"Wyoming";"Public Out-of-State";"2-year";"Fees/Tuition";6658.0
2015;"Wyoming";"Public Out-of-State";"4-year";"Fees/Tuition";12152.0
2015;"Wyoming";"Public Out-of-State";"4-year";"Room/Board";9489.0
2016;"Alabama";"Private";"4-year";"Fees/Tuition";15359.0
2016;"Alabama";"Private";"4-year";"Room/Board";9289.0
2016;"Alabama";"Public In-State";"2-year";"Fees/Tuition";4289.0
2016;"Alabama";"Public In-State";"4-year";"Fees/Tuition";9179.0
2016;"Alabama";"Public In-State";"4-year";"Room/Board";9330.0
2016;"Alabama";"Public Out-of-State";"2-year";"Fees/Tuition";8464.0
2016;"Alabama";"Public Out-of-State";"4-year";"Fees/Tuition";23261.0
2016;"Alabama";"Public Out-of-State";"4-year";"Room/Board";9330.0
2016;"Alaska";"Private";"4-year";"Fees/Tuition";19957.0
2016;"Alaska";"Private";"4-year";"Room/Board";6431.0
2016;"Alaska";"Public In-State";"2-year";"Fees/Tuition";3340.0
2016;"Alaska";"Public In-State";"4-year";"Fees/Tuition";6880.0
2016;"Alaska";"Public In-State";"4-year";"Room/Board";9820.0
2016;"Alaska";"Public Out-of-State";"2-year";"Fees/Tuition";3340.0
2016;"Alaska";"Public Out-of-State";"4-year";"Fees/Tuition";20463.0
2016;"Alaska";"Public Out-of-State";"4-year";"Room/Board";9820.0
2016;"Arizona";"Private";"4-year";"Fees/Tuition";12667.0
2016;"Arizona";"Private";"4-year";"Room/Board";9577.0
2016;"Arizona";"Public In-State";"2-year";"Fees/Tuition";2061.0
2016;"Arizona";"Public In-State";"4-year";"Fees/Tuition";9884.0
2016;"Arizona";"Public In-State";"4-year";"Room/Board";10737.0
2016;"Arizona";"Public Out-of-State";"2-year";"Fees/Tuition";8255.0
2016;"Arizona";"Public Out-of-State";"4-year";"Fees/Tuition";24161.0
2016;"Arizona";"Public Out-of-State";"4-year";"Room/Board";10737.0
2016;"Arkansas";"Private";"4-year";"Fees/Tuition";20936.0
2016;"Arkansas";"Private";"4-year";"Room/Board";7891.0
2016;"Arkansas";"Public In-State";"2-year";"Fees/Tuition";3105.0
2016;"Arkansas";"Public In-State";"4-year";"Fees/Tuition";7577.0
2016;"Arkansas";"Public In-State";"4-year";"Room/Board";8399.0
2016;"Arkansas";"Public Out-of-State";"2-year";"Fees/Tuition";4638.0
2016;"Arkansas";"Public Out-of-State";"4-year";"Fees/Tuition";18306.0
2016;"Arkansas";"Public Out-of-State";"4-year";"Room/Board";8399.0
2016;"California";"Private";"4-year";"Fees/Tuition";29519.0
2016;"California";"Private";"4-year";"Room/Board";11663.0
2016;"California";"Public In-State";"2-year";"Fees/Tuition";1246.0
2016;"California";"Public In-State";"4-year";"Fees/Tuition";9070.0
2016;"California";"Public In-State";"4-year";"Room/Board";13081.0
2016;"California";"Public Out-of-State";"2-year";"Fees/Tuition";6968.0
2016;"California";"Public Out-of-State";"4-year";"Fees/Tuition";31526.0
2016;"California";"Public Out-of-State";"4-year";"Room/Board";13081.0
2016;"Colorado";"Private";"4-year";"Fees/Tuition";22332.0
2016;"Colorado";"Private";"4-year";"Room/Board";11319.0
2016;"Colorado";"Public In-State";"2-year";"Fees/Tuition";3630.0
2016;"Colorado";"Public In-State";"4-year";"Fees/Tuition";9128.0
2016;"Colorado";"Public In-State";"4-year";"Room/Board";11466.0
2016;"Colorado";"Public Out-of-State";"2-year";"Fees/Tuition";8915.0
2016;"Colorado";"Public Out-of-State";"4-year";"Fees/Tuition";27986.0
2016;"Colorado";"Public Out-of-State";"4-year";"Room/Board";11466.0
2016;"Connecticut";"Private";"4-year";"Fees/Tuition";37679.0
2016;"Connecticut";"Private";"4-year";"Room/Board";13891.0
2016;"Connecticut";"Public In-State";"2-year";"Fees/Tuition";4039.0
2016;"Connecticut";"Public In-State";"4-year";"Fees/Tuition";11106.0
2016;"Connecticut";"Public In-State";"4-year";"Room/Board";12245.0
2016;"Connecticut";"Public Out-of-State";"2-year";"Fees/Tuition";12100.0
2016;"Connecticut";"Public Out-of-State";"4-year";"Fees/Tuition";32870.0
2016;"Connecticut";"Public Out-of-State";"4-year";"Room/Board";12245.0
2016;"Delaware";"Private";"4-year";"Fees/Tuition";14200.0
2016;"Delaware";"Private";"4-year";"Room/Board";11311.0
2016;"Delaware";"Public In-State";"2-year";"Fees/Tuition";3215.0
2016;"Delaware";"Public In-State";"4-year";"Fees/Tuition";11670.0
2016;"Delaware";"Public In-State";"4-year";"Room/Board";11896.0
2016;"Delaware";"Public Out-of-State";"2-year";"Fees/Tuition";6548.0
